OCC_ID,OCC_str,template
7_803_80320,Crafts and related trades workers_Leather goods makers_Saddlers and harness makers,Occupation: Crafts and related trades workers_Leather goods makers_Saddlers and harness makers
7_801_80100,Crafts and related trades workers_Shoemakers and shoe repairers_Boot and shoe makers and repairers,Occupation: Crafts and related trades workers_Shoemakers and shoe repairers_Boot and shoe makers and repairers
8_732_73200,"Plant and machine operators and assemblers_Sawyers, plywood makers and related woodprocessing workers_Sawyers and other titled wood/sawmill operatives","Occupation: Plant and machine operators and assemblers_Sawyers, plywood makers and related woodprocessing workers_Sawyers and other titled wood/sawmill operatives"
1_299_23110,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors nfs","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors nfs"
8_959_95910,Plant and machine operators and assemblers_Construction workers not elsewhere classified_Construction workers nec,Occupation: Plant and machine operators and assemblers_Construction workers not elsewhere classified_Construction workers nec
6_631_63140,Skilled agricultural and fishery workers_Loggers_Wood cutters and choppers,Occupation: Skilled agricultural and fishery workers_Loggers_Wood cutters and choppers
7_799_79990,"Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Other cloth and related product manufacturing workers","Occupation: Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Other cloth and related product manufacturing workers"
8_778_77820,"Plant and machine operators and assemblers_Brewers, wine and beverage makers_Brewers","Occupation: Plant and machine operators and assemblers_Brewers, wine and beverage makers_Brewers"
4_331_33120,Clerks_Bookkeepers and cashiers_Bookkeepers and bookkeeping clerks,Occupation: Clerks_Bookkeepers and cashiers_Bookkeepers and bookkeeping clerks
6_621_62110,"Skilled agricultural and fishery workers_General farm workers_Farm workers, specialisation unknown","Occupation: Skilled agricultural and fishery workers_General farm workers_Farm workers, specialisation unknown"
6_627_62730,Skilled agricultural and fishery workers_Nursery workers and gardeners_Nursery labourers,Occupation: Skilled agricultural and fishery workers_Nursery workers and gardeners_Nursery labourers
8_984_98490,"Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Others skilled railway workers","Occupation: Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Others skilled railway workers"
1_299_23180,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, commerce","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, commerce"
7_791_79190,Crafts and related trades workers_Tailors and dressmakers_Other garment makers,Occupation: Crafts and related trades workers_Tailors and dressmakers_Other garment makers
7_773_77310,Crafts and related trades workers_Butchers and meat preparers_Butchers,Occupation: Crafts and related trades workers_Butchers and meat preparers_Butchers
7_792_79200,Crafts and related trades workers_Fur tailors and related workers_Furriers and fur workers,Occupation: Crafts and related trades workers_Fur tailors and related workers_Furriers and fur workers
7_831_83120,"Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Blacksmiths","Occupation: Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Blacksmiths"
7_791_79120,Crafts and related trades workers_Tailors and dressmakers_Tailors and tailoresses,Occupation: Crafts and related trades workers_Tailors and dressmakers_Tailors and tailoresses
8_985_98510,"Plant and machine operators and assemblers_Motor vehicle drivers_Drivers, nec","Occupation: Plant and machine operators and assemblers_Motor vehicle drivers_Drivers, nec"
9_971_97120,Elementary occupations_Dockers and freight handlers_Ship boat loaders and dock workers,Occupation: Elementary occupations_Dockers and freight handlers_Ship boat loaders and dock workers
7_755_75500,Crafts and related trades workers_Knitters_Knitters,Occupation: Crafts and related trades workers_Knitters_Knitters
5_599_59950,Service workers and shop and market sales_Other service workers_Errand boys and errand girls,Occupation: Service workers and shop and market sales_Other service workers_Errand boys and errand girls
7_951_95130,"Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Stone masons","Occupation: Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Stone masons"
<NA>_990_99440,_Labourers not elsewhere classified_Helpers of relative or helping at home,Occupation: _Labourers not elsewhere classified_Helpers of relative or helping at home
4_391_39100,"Clerks_Stock clerks_Stock, weight and shipping clerks","Occupation: Clerks_Stock clerks_Stock, weight and shipping clerks"
7_910_92110,Crafts and related trades workers_Paper and paperboard products makers_Printers nfs,Occupation: Crafts and related trades workers_Paper and paperboard products makers_Printers nfs
7_951_95110,"Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Mason nfs or combined","Occupation: Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Mason nfs or combined"
7_791_79130,Crafts and related trades workers_Tailors and dressmakers_Dressmakers,Occupation: Crafts and related trades workers_Tailors and dressmakers_Dressmakers
7_795_79590,Crafts and related trades workers_Sewers and embroiderers_Others hand sewers,Occupation: Crafts and related trades workers_Sewers and embroiderers_Others hand sewers
8_949_94990,Plant and machine operators and assemblers_Other production and related workers_Production and related workers nec,Occupation: Plant and machine operators and assemblers_Other production and related workers_Production and related workers nec
