OCC_ID,OCC_str,template
7_793_79330,Crafts and related trades workers_Milliners and hatmakers_Hat makers,Occupation: Crafts and related trades workers_Milliners and hatmakers_Hat makers
8_749_74730,Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Soap and perfume makers,Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Soap and perfume makers
7_819_81300,"Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Coach, carriage and wagon makers","Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Coach, carriage and wagon makers"
7_761_76140,Crafts and related trades workers_Tanners and fellmongers_Leather curriers and finishers,Occupation: Crafts and related trades workers_Tanners and fellmongers_Leather curriers and finishers
4_310_31030,Clerks_Government executive officials_Tax assessors,Occupation: Clerks_Government executive officials_Tax assessors
6_631_63120,"Skilled agricultural and fishery workers_Loggers_Lumbermen, loggers and kindred workers","Occupation: Skilled agricultural and fishery workers_Loggers_Lumbermen, loggers and kindred workers"
1_201_20100,"Legislators, senior officials and managers_Legislative officials_Legislative officials and heads of government","Occupation: Legislators, senior officials and managers_Legislative officials_Legislative officials and heads of government"
7_893_89300,Crafts and related trades workers_Glass and ceramics kilnmen_Brick and tile makers,Occupation: Crafts and related trades workers_Glass and ceramics kilnmen_Brick and tile makers
7_873_87330,Crafts and related trades workers_Sheetmetal workers_Coppersmith or copperware maker,Occupation: Crafts and related trades workers_Sheetmetal workers_Coppersmith or copperware maker
5_490_49020,Service workers and shop and market sales_Sales workers not elsewhere classified_Pawnbrokers,Occupation: Service workers and shop and market sales_Sales workers not elsewhere classified_Pawnbrokers
2_65_6300,Professionals_Veterinarians_Veterinarians,Occupation: Professionals_Veterinarians_Veterinarians
7_839_83600,"Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Gunsmiths","Occupation: Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Gunsmiths"
7_939_93190,Crafts and related trades workers_Painters not elsewhere classified_Other specialised painters nec,Occupation: Crafts and related trades workers_Painters not elsewhere classified_Other specialised painters nec
5_599_59990,Service workers and shop and market sales_Other service workers_Other service workers nec,Occupation: Service workers and shop and market sales_Other service workers_Other service workers nec
1_299_23150,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, other transport and communications","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, other transport and communications"
7_711_71120,Crafts and related trades workers_Miners and quarrymen_Miners,Occupation: Crafts and related trades workers_Miners and quarrymen_Miners
5_490_49030,"Service workers and shop and market sales_Sales workers not elsewhere classified_Scrap and junk dealers, scavengers","Occupation: Service workers and shop and market sales_Sales workers not elsewhere classified_Scrap and junk dealers, scavengers"
7_761_76130,Crafts and related trades workers_Tanners and fellmongers_Tanners,Occupation: Crafts and related trades workers_Tanners and fellmongers_Tanners
7_951_95120,"Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Bricklayers","Occupation: Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Bricklayers"
8_781_78100,Plant and machine operators and assemblers_Tobacco preparers_Tobacco preparers and tobacco factory workers,Occupation: Plant and machine operators and assemblers_Tobacco preparers_Tobacco preparers and tobacco factory workers
8_749_74320,Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Charcoal burners,Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Charcoal burners
8_773_77390,Plant and machine operators and assemblers_Butchers and meat preparers_Other workers in meat preparation,Occupation: Plant and machine operators and assemblers_Butchers and meat preparers_Other workers in meat preparation
7_799_79940,"Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Artificial flower makers","Occupation: Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Artificial flower makers"
6_627_62720,Skilled agricultural and fishery workers_Nursery workers and gardeners_Market garden labourers,Occupation: Skilled agricultural and fishery workers_Nursery workers and gardeners_Market garden labourers
8_777_77700,"Plant and machine operators and assemblers_Tea, coffee and cocoa preparers_Tea, coffee and cocoa preparers","Occupation: Plant and machine operators and assemblers_Tea, coffee and cocoa preparers_Tea, coffee and cocoa preparers"
7_819_81600,Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Clog makers,Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Clog makers
7_819_81400,Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wheelwrights and cartwrights,Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wheelwrights and cartwrights
7_756_75700,"Crafts and related trades workers_Bleachers, dyers and textile product finishers_Rope makers","Occupation: Crafts and related trades workers_Bleachers, dyers and textile product finishers_Rope makers"
6_624_62410,"Skilled agricultural and fishery workers_Livestock workers_Livestock workers, general or nfs","Occupation: Skilled agricultural and fishery workers_Livestock workers_Livestock workers, general or nfs"
1_219_21160,"Legislators, senior officials and managers_Managers not elsewhere classified_Proprietor, other transport and communications","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Proprietor, other transport and communications"
7_949_94240,Crafts and related trades workers_Other production and related workers_Broom makers,Occupation: Crafts and related trades workers_Other production and related workers_Broom makers
8_749_74330,Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Coal gas makers,Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Coal gas makers
3_42_4240,Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (inland waterways),Occupation: Technicians and associate professionals_Ships' deck officers and pilots_Ship's masters and captains (inland waterways)
7_812_81210,Crafts and related trades workers_Woodworking machine operators_Woodworkers,Occupation: Crafts and related trades workers_Woodworking machine operators_Woodworkers
8_812_81220,"Plant and machine operators and assemblers_Woodworking machine operators_Sawyers, woodworking","Occupation: Plant and machine operators and assemblers_Woodworking machine operators_Sawyers, woodworking"
7_722_72200,Crafts and related trades workers_Metal rollingmill workers_Metal rollers,Occupation: Crafts and related trades workers_Metal rollingmill workers_Metal rollers
8_839_83530,"Plant and machine operators and assemblers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Metal grinders and sharpeners","Occupation: Plant and machine operators and assemblers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Metal grinders and sharpeners"
7_725_72500,Crafts and related trades workers_Metal moulders and coremakers_Metal moulders and coremakers,Occupation: Crafts and related trades workers_Metal moulders and coremakers_Metal moulders and coremakers
8_749_74990,Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Specified chemical workers nec,Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Specified chemical workers nec
7_839_83840,"Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Chain makers","Occupation: Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Chain makers"
7_839_83850,"Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Nailer and nail makers","Occupation: Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Nailer and nail makers"
7_721_72100,"Crafts and related trades workers_Metal smelting, converting and refining furnacemen_Metal smelter and furnacemen","Occupation: Crafts and related trades workers_Metal smelting, converting and refining furnacemen_Metal smelter and furnacemen"
7_831_83130,"Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Hammersmiths","Occupation: Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Hammersmiths"
7_856_85600,Crafts and related trades workers_Telephone and telegraph installers_Telephone and telegraph installers,Occupation: Crafts and related trades workers_Telephone and telegraph installers_Telephone and telegraph installers
8_833_83320,Plant and machine operators and assemblers_Machinetool setteroperators_Metal turners,Occupation: Plant and machine operators and assemblers_Machinetool setteroperators_Metal turners
5_552_55250,"Service workers and shop and market sales_Charworkers, cleaners and related workers_Refuse collectors and removers","Occupation: Service workers and shop and market sales_Charworkers, cleaners and related workers_Refuse collectors and removers"
7_891_89120,"Crafts and related trades workers_Glass formers, cutters, grinders and finishers_Glass makers","Occupation: Crafts and related trades workers_Glass formers, cutters, grinders and finishers_Glass makers"
7_832_83230,"Crafts and related trades workers_Toolmakers, metal patternmakers and metal markers_Pattern makers nfs and nec","Occupation: Crafts and related trades workers_Toolmakers, metal patternmakers and metal markers_Pattern makers nfs and nec"
8_959_95990,Plant and machine operators and assemblers_Construction workers not elsewhere classified_Others in building construction,Occupation: Plant and machine operators and assemblers_Construction workers not elsewhere classified_Others in building construction
8_981_98130,"Plant and machine operators and assemblers_Ships' deck ratings, barge crews and boatmen_Boatmen and canalmen","Occupation: Plant and machine operators and assemblers_Ships' deck ratings, barge crews and boatmen_Boatmen and canalmen"
9_974_97410,"Elementary occupations_Earthmoving and related machinery operators_Navvy, excavator and diggers, nfs","Occupation: Elementary occupations_Earthmoving and related machinery operators_Navvy, excavator and diggers, nfs"
1_299_23160,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, public utilities","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, public utilities"
4_393_39320,Clerks_Correspondence and reporting clerks_Correspondence clerks,Occupation: Clerks_Correspondence and reporting clerks_Correspondence clerks
6_624_62460,Skilled agricultural and fishery workers_Livestock workers_Horse workers,Occupation: Skilled agricultural and fishery workers_Livestock workers_Horse workers
2_21_2100,Professionals_Architects and town planners_Architects,Occupation: Professionals_Architects and town planners_Architects
6_632_63290,Skilled agricultural and fishery workers_Forestry workers (except logging)_Other forestry workers,Occupation: Skilled agricultural and fishery workers_Forestry workers (except logging)_Other forestry workers
3_34_3230,Technicians and associate professionals_Electrical and electronics engineering technicians_Electrical engineering technicians,Occupation: Technicians and associate professionals_Electrical and electronics engineering technicians_Electrical engineering technicians
2_14_2000,"Professionals_Physical science technicians_Professional engineers, specialisation unknown","Occupation: Professionals_Physical science technicians_Professional engineers, specialisation unknown"
4_391_39000,"Clerks_Stock clerks_Clerk, nfs","Occupation: Clerks_Stock clerks_Clerk, nfs"
8_984_98420,"Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Railway brakemen","Occupation: Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Railway brakemen"
7_939_93200,Crafts and related trades workers_Painters not elsewhere classified_Decorators,Occupation: Crafts and related trades workers_Painters not elsewhere classified_Decorators
4_310_31050,Clerks_Government executive officials_Postmasters or postmistresses,Occupation: Clerks_Government executive officials_Postmasters or postmistresses
7_959_95920,Crafts and related trades workers_Construction workers not elsewhere classified_Paperhangers,Occupation: Crafts and related trades workers_Construction workers not elsewhere classified_Paperhangers
7_776_77640,"Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Candy makers","Occupation: Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Candy makers"
8_899_89620,"Plant and machine operators and assemblers_Glass formers, potters and related workers not elsewhere classified_Cement makers","Occupation: Plant and machine operators and assemblers_Glass formers, potters and related workers not elsewhere classified_Cement makers"
8_749_74000,"Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Chemical workers, product nfs","Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Chemical workers, product nfs"
4_370_37030,"Clerks_Mail distribution clerks_Mail carriers, aka postmen (UK)","Occupation: Clerks_Mail distribution clerks_Mail carriers, aka postmen (UK)"
7_724_72400,Crafts and related trades workers_Metal casters_Metal casters and workers in metal casting plants,Occupation: Crafts and related trades workers_Metal casters_Metal casters and workers in metal casting plants
7_872_87290,"Crafts and related trades workers_Welders and flamecutters_Other welders, braziers, solderers","Occupation: Crafts and related trades workers_Welders and flamecutters_Other welders, braziers, solderers"
1_212_21120,"Legislators, senior officials and managers_Production managers (except farm)_Manufacturers nfs","Occupation: Legislators, senior officials and managers_Production managers (except farm)_Manufacturers nfs"
7_873_87320,"Crafts and related trades workers_Sheetmetal workers_Sheet metal worker, general","Occupation: Crafts and related trades workers_Sheetmetal workers_Sheet metal worker, general"
7_952_95200,"Crafts and related trades workers_Reinforced concreters, cement finishers and terrazzo workers_Cement masons and finishers","Occupation: Crafts and related trades workers_Reinforced concreters, cement finishers and terrazzo workers_Cement masons and finishers"
8_973_97300,Plant and machine operators and assemblers_Crane and hoist operators_Crane and hoist operators,Occupation: Plant and machine operators and assemblers_Crane and hoist operators_Crane and hoist operators
8_749_74740,"Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Glue, size and gelatine makers","Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Glue, size and gelatine makers"
5_441_44140,"Service workers and shop and market sales_Insurance, real estate and securities salesmen_Brokers","Occupation: Service workers and shop and market sales_Insurance, real estate and securities salesmen_Brokers"
4_310_31060,Clerks_Government executive officials_Clerks of court and other court clerks,Occupation: Clerks_Government executive officials_Clerks of court and other court clerks
1_300_24100,"Legislators, senior officials and managers_Clerical supervisors_Inspectors of manufactories, companies etc.","Occupation: Legislators, senior officials and managers_Clerical supervisors_Inspectors of manufactories, companies etc."
4_393_39350,Clerks_Correspondence and reporting clerks_Insurance clerks,Occupation: Clerks_Correspondence and reporting clerks_Insurance clerks
2_173_17300,Professionals_Actors and stage directors_Actors and related workers,Occupation: Professionals_Actors and stage directors_Actors and related workers
5_532_53290,"Service workers and shop and market sales_Waiters, bartenders and related workers_Other food and drink service workers","Occupation: Service workers and shop and market sales_Waiters, bartenders and related workers_Other food and drink service workers"
7_957_95700,Crafts and related trades workers_Glaziers_Glaziers,Occupation: Crafts and related trades workers_Glaziers_Glaziers
2_24_2450,Professionals_Mechanical engineers_Ship construction engineers,Occupation: Professionals_Mechanical engineers_Ship construction engineers
7_872_87220,Crafts and related trades workers_Welders and flamecutters_Welders,Occupation: Crafts and related trades workers_Welders and flamecutters_Welders
5_432_43090,Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Other specialized agents,Occupation: Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Other specialized agents
4_360_36090,"Clerks_Transport conductors_Transport conductors, nec","Occupation: Clerks_Transport conductors_Transport conductors, nec"
8_835_83520,"Plant and machine operators and assemblers_Metal grinders, polishers and tool sharpeners_Metal polishers and finishers","Occupation: Plant and machine operators and assemblers_Metal grinders, polishers and tool sharpeners_Metal polishers and finishers"
5_452_45250,"Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Canvassers","Occupation: Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Canvassers"
7_874_87430,Crafts and related trades workers_Structural metal preparers and erectors_Rivetters nec,Occupation: Crafts and related trades workers_Structural metal preparers and erectors_Rivetters nec
1_299_23130,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, mining","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, mining"
5_570_57040,"Service workers and shop and market sales_Hairdressers, barbers, beauticians and related workers_Bath attendants","Occupation: Service workers and shop and market sales_Hairdressers, barbers, beauticians and related workers_Bath attendants"
5_441_44120,"Service workers and shop and market sales_Insurance, real estate and securities salesmen_Insurance salesmen and agents","Occupation: Service workers and shop and market sales_Insurance, real estate and securities salesmen_Insurance salesmen and agents"
2_23_2300,Professionals_Electrical and electronics engineers_Electrical engineers,Occupation: Professionals_Electrical and electronics engineers_Electrical engineers
2_161_16130,"Professionals_Sculptors, painters and related artists_Artistic painters","Occupation: Professionals_Sculptors, painters and related artists_Artistic painters"
5_540_54030,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Personal servants and valets,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Personal servants and valets
7_841_84150,Crafts and related trades workers_Machinery fitters and machine assemblers_Sewing machine makers and builders,Occupation: Crafts and related trades workers_Machinery fitters and machine assemblers_Sewing machine makers and builders
7_819_81990,Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Other makers of wooden products,Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Other makers of wooden products
9_990_99300,Elementary occupations_Labourers not elsewhere classified_Occupational title unclassifiable,Occupation: Elementary occupations_Labourers not elsewhere classified_Occupational title unclassifiable
3_74_7330,Technicians and associate professionals_Midwifery personnel not elsewhere classified_Monthly nurses,Occupation: Technicians and associate professionals_Midwifery personnel not elsewhere classified_Monthly nurses
4_399_39730,"Clerks_Clerks not elsewhere classified_Timekeepers, factory","Occupation: Clerks_Clerks not elsewhere classified_Timekeepers, factory"
2_24_2410,"Professionals_Mechanical engineers_Mechanical engineers, general or nfs","Occupation: Professionals_Mechanical engineers_Mechanical engineers, general or nfs"
2_11_1100,Professionals_Chemists_Chemists,Occupation: Professionals_Chemists_Chemists
5_510_51050,"Service workers and shop and market sales_Working proprietors (catering and lodging services)_Pub, saloon, tavern and coffee house keepers","Occupation: Service workers and shop and market sales_Working proprietors (catering and lodging services)_Pub, saloon, tavern and coffee house keepers"
9_974_97490,"Elementary occupations_Earthmoving and related machinery operators_Other road, railway and related construction labourers","Occupation: Elementary occupations_Earthmoving and related machinery operators_Other road, railway and related construction labourers"
2_135_13250,Professionals_Special education teachers_Teachers (of the disabled),Occupation: Professionals_Special education teachers_Teachers (of the disabled)
8_778_77860,"Plant and machine operators and assemblers_Brewers, wine and beverage makers_Distillers","Occupation: Plant and machine operators and assemblers_Brewers, wine and beverage makers_Distillers"
6_625_62500,Skilled agricultural and fishery workers_Dairy farm workers_Farm workers (dairy),Occupation: Skilled agricultural and fishery workers_Dairy farm workers_Farm workers (dairy)
6_624_62420,"Skilled agricultural and fishery workers_Livestock workers_Cattle workers, except specified dairy","Occupation: Skilled agricultural and fishery workers_Livestock workers_Cattle workers, except specified dairy"
8_774_77400,Plant and machine operators and assemblers_Food preservers_Cannery workers and other food preservers,Occupation: Plant and machine operators and assemblers_Food preservers_Cannery workers and other food preservers
7_711_71190,Crafts and related trades workers_Miners and quarrymen_Others working in mines and quarries,Occupation: Crafts and related trades workers_Miners and quarrymen_Others working in mines and quarries
3_62_6500,Technicians and associate professionals_Medical assistants_Medical and related assistants,Occupation: Technicians and associate professionals_Medical assistants_Medical and related assistants
8_779_77990,Plant and machine operators and assemblers_Food and beverage processers not elsewhere classified_Other food and beverage processors,Occupation: Plant and machine operators and assemblers_Food and beverage processers not elsewhere classified_Other food and beverage processors
7_811_81130,Crafts and related trades workers_Cabinetmakers_Chair makers,Occupation: Crafts and related trades workers_Cabinetmakers_Chair makers
1_212_21142,"Legislators, senior officials and managers_Production managers (except farm)_Executive officers of extractive industry","Occupation: Legislators, senior officials and managers_Production managers (except farm)_Executive officers of extractive industry"
7_922_92200,Crafts and related trades workers_Printing pressmen_Lithographic printers,Occupation: Crafts and related trades workers_Printing pressmen_Lithographic printers
2_159_15220,"Professionals_Authors, journalists and related writers not elsewhere classified_Editors","Occupation: Professionals_Authors, journalists and related writers not elsewhere classified_Editors"
6_612_61240,Skilled agricultural and fishery workers_Specialised farmers_Market gardeners,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Market gardeners
8_745_74500,Plant and machine operators and assemblers_Petroleum refining workers_Oil mill workers,Occupation: Plant and machine operators and assemblers_Petroleum refining workers_Oil mill workers
8_778_77830,"Plant and machine operators and assemblers_Brewers, wine and beverage makers_Maltsters","Occupation: Plant and machine operators and assemblers_Brewers, wine and beverage makers_Maltsters"
7_799_79400,"Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Glove makers and related workers","Occupation: Crafts and related trades workers_Tailors, dressmakers, sewers, upholsterers and related workers not elsewhere classified_Glove makers and related workers"
7_819_81720,Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wooden box makers,Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wooden box makers
8_989_98730,Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Gate keepers,Occupation: Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Gate keepers
6_612_61280,Skilled agricultural and fishery workers_Specialised farmers_Poultry farmers,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Poultry farmers
7_773_77360,Crafts and related trades workers_Butchers and meat preparers_Fish butchers,Occupation: Crafts and related trades workers_Butchers and meat preparers_Fish butchers
3_79_7990,"Technicians and associate professionals_Medical, dental, veterinary and related workers not elsewhere classified_Other medical, dental, veterinary and related workers","Occupation: Technicians and associate professionals_Medical, dental, veterinary and related workers not elsewhere classified_Other medical, dental, veterinary and related workers"
2_159_15230,"Professionals_Authors, journalists and related writers not elsewhere classified_Journalists, reporters and correspondents","Occupation: Professionals_Authors, journalists and related writers not elsewhere classified_Journalists, reporters and correspondents"
8_969_96230,Plant and machine operators and assemblers_Stationary engine and related equipment operators not elsewhere classified_Stationary engineers and engine men,Occupation: Plant and machine operators and assemblers_Stationary engine and related equipment operators not elsewhere classified_Stationary engineers and engine men
6_612_61330,Skilled agricultural and fishery workers_Specialised farmers_Cottar and fisherman,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Cottar and fisherman
7_872_87230,Crafts and related trades workers_Welders and flamecutters_Braziers,Occupation: Crafts and related trades workers_Welders and flamecutters_Braziers
7_759_75920,"Crafts and related trades workers_Spinners, weavers, knitters, dyers and related workers not elsewhere classified_Net maker","Occupation: Crafts and related trades workers_Spinners, weavers, knitters, dyers and related workers not elsewhere classified_Net maker"
7_857_85700,"Crafts and related trades workers_Electric linemen and cable jointers_Linesmen: telephone, telegraph and electric","Occupation: Crafts and related trades workers_Electric linemen and cable jointers_Linesmen: telephone, telegraph and electric"
3_75_7500,Technicians and associate professionals_Optometrists and opticians_Opticians and optometrists,Occupation: Technicians and associate professionals_Optometrists and opticians_Opticians and optometrists
8_989_98720,Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Lock keepers,Occupation: Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Lock keepers
5_520_52090,Service workers and shop and market sales_Housekeeping and related service supervisors_Other housekeeping service supervisors,Occupation: Service workers and shop and market sales_Housekeeping and related service supervisors_Other housekeeping service supervisors
7_839_83890,"Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Other metal workers nec","Occupation: Crafts and related trades workers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Other metal workers nec"
4_360_36040,"Clerks_Transport conductors_Bus, tram or streetcar conductors","Occupation: Clerks_Transport conductors_Bus, tram or streetcar conductors"
7_711_71130,Crafts and related trades workers_Miners and quarrymen_Quarrymen,Occupation: Crafts and related trades workers_Miners and quarrymen_Quarrymen
9_974_97440,"Elementary occupations_Earthmoving and related machinery operators_Waterway and harbour builders, workers and labourers","Occupation: Elementary occupations_Earthmoving and related machinery operators_Waterway and harbour builders, workers and labourers"
7_842_84290,"Crafts and related trades workers_Watch, clock and precision instrument makers_Other specialized instrument makers (not musical instrument makers)","Occupation: Crafts and related trades workers_Watch, clock and precision instrument makers_Other specialized instrument makers (not musical instrument makers)"
1_219_21190,"Legislators, senior officials and managers_Managers not elsewhere classified_Other owners of large scale productive enterprises","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Other owners of large scale productive enterprises"
2_161_16190,"Professionals_Sculptors, painters and related artists_Other specified creative artists","Occupation: Professionals_Sculptors, painters and related artists_Other specified creative artists"
1_202_20200,"Legislators, senior officials and managers_Government administrators_Government administrators","Occupation: Legislators, senior officials and managers_Government administrators_Government administrators"
7_949_94230,Crafts and related trades workers_Other production and related workers_Brush makers,Occupation: Crafts and related trades workers_Other production and related workers_Brush makers
7_819_81920,Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wooden tool makers,Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Wooden tool makers
8_812_81240,Plant and machine operators and assemblers_Woodworking machine operators_Wood planers,Occupation: Plant and machine operators and assemblers_Woodworking machine operators_Wood planers
1_212_21140,"Legislators, senior officials and managers_Production managers (except farm)_Proprietor, mining, quarrying, oil and natural gas extraction","Occupation: Legislators, senior officials and managers_Production managers (except farm)_Proprietor, mining, quarrying, oil and natural gas extraction"
3_32_3100,Technicians and associate professionals_Draughtsmen_Draughtsmen,Occupation: Technicians and associate professionals_Draughtsmen_Draughtsmen
1_212_21132,"Legislators, senior officials and managers_Production managers (except farm)_Executive officers of specified manufacturing concerns","Occupation: Legislators, senior officials and managers_Production managers (except farm)_Executive officers of specified manufacturing concerns"
4_321_32000,"Clerks_Stenographers, typists and teletypists_Typists, stenographers and secretaries","Occupation: Clerks_Stenographers, typists and teletypists_Typists, stenographers and secretaries"
5_552_55290,"Service workers and shop and market sales_Charworkers, cleaners and related workers_Other charworkers, cleaners and related workers","Occupation: Service workers and shop and market sales_Charworkers, cleaners and related workers_Other charworkers, cleaners and related workers"
2_134_13240,Professionals_Preprimary education teachers_Teachers (pre-primary),Occupation: Professionals_Preprimary education teachers_Teachers (pre-primary)
7_795_79540,Crafts and related trades workers_Sewers and embroiderers_Embroiderers,Occupation: Crafts and related trades workers_Sewers and embroiderers_Embroiderers
6_624_62440,Skilled agricultural and fishery workers_Livestock workers_Pig workers,Occupation: Skilled agricultural and fishery workers_Livestock workers_Pig workers
2_27_2700,Professionals_Mining engineers_Mining engineers,Occupation: Professionals_Mining engineers_Mining engineers
6_612_61260,Skilled agricultural and fishery workers_Specialised farmers_Livestock farmers,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Livestock farmers
6_626_62600,Skilled agricultural and fishery workers_Poultry farm workers_Farm workers (poultry),Occupation: Skilled agricultural and fishery workers_Poultry farm workers_Farm workers (poultry)
7_895_89500,Crafts and related trades workers_Glass and ceramics painters and decorators_Pottery and porcelain painters,Occupation: Crafts and related trades workers_Glass and ceramics painters and decorators_Pottery and porcelain painters
7_831_83150,"Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Farriers or horseshoers","Occupation: Crafts and related trades workers_Blacksmiths, hammersmiths and forgingpress operators_Farriers or horseshoers"
5_422_42000,Service workers and shop and market sales_Buyers_Buyers,Occupation: Service workers and shop and market sales_Buyers_Buyers
6_649_64950,"Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Whale or seal hunters","Occupation: Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Whale or seal hunters"
6_649_64940,"Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Whale hunters","Occupation: Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Whale hunters"
6_649_64960,"Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Seal hunters","Occupation: Skilled agricultural and fishery workers_Fishermen, hunters and related workers not elsewhere classified_Seal hunters"
8_899_89630,"Plant and machine operators and assemblers_Glass formers, potters and related workers not elsewhere classified_Lime burners","Occupation: Plant and machine operators and assemblers_Glass formers, potters and related workers not elsewhere classified_Lime burners"
7_951_95140,"Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Plasterers","Occupation: Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Plasterers"
6_612_61250,Skilled agricultural and fishery workers_Specialised farmers_Nurserymen and florists,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Nurserymen and florists
8_812_81250,Plant and machine operators and assemblers_Woodworking machine operators_Wood carvers,Occupation: Plant and machine operators and assemblers_Woodworking machine operators_Wood carvers
1_299_23190,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, nec","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, nec"
7_892_89200,Crafts and related trades workers_Potters and related clay and abrasive formers_Pottery and porcelain makers and workers,Occupation: Crafts and related trades workers_Potters and related clay and abrasive formers_Pottery and porcelain makers and workers
2_151_15100,Professionals_Authors and critics_Authors,Occupation: Professionals_Authors and critics_Authors
